item_id,score,extracted,gold,latency_ms,provider,engine_latency_ms,finish,error
gsm8k/test/0,1.0,18,18,12376.3,gemini,2652,stop,
gsm8k/test/1,1.0,3,3,3684.8,gemini,2417,stop,
gsm8k/test/2,1.0,"$70,000",70000,8992.5,gemini,7472,stop,
gsm8k/test/3,1.0,540,540,11863.5,gemini,2427,stop,
gsm8k/test/4,1.0,20,20,2730.9,gemini,2410,stop,
gsm8k/test/5,1.0,64,64,3728.6,gemini,3201,stop,
gsm8k/test/6,1.0,260,260,2738.7,gemini,2422,stop,
gsm8k/test/7,1.0,160,160,3977.5,gemini,3562,stop,
gsm8k/test/8,1.0,45,45,5405.6,gemini,4715,stop,
gsm8k/test/9,1.0,$460,460,3746.4,gemini,3101,stop,
gsm8k/test/10,1.0,366,366,2656.0,gemini,2268,stop,
gsm8k/test/11,1.0,694,694,3499.9,gemini,3082,stop,
gsm8k/test/12,0.0,12,13,3539.5,gemini,3120,stop,
gsm8k/test/13,1.0,18,18,4218.8,gemini,3731,stop,
gsm8k/test/14,1.0,60,60,14576.8,gemini,4014,stop,
gsm8k/test/15,1.0,125,125,11942.9,gemini,3653,stop,
gsm8k/test/16,1.0,230,230,2805.1,gemini,2315,stop,
gsm8k/test/17,1.0,$57500,57500,3690.8,gemini,3251,stop,
gsm8k/test/18,1.0,7,7,3660.7,gemini,3214,stop,
gsm8k/test/19,1.0,6,6,3502.2,gemini,2932,stop,
gsm8k/test/20,1.0,15,15,5209.3,gemini,4759,stop,
gsm8k/test/21,1.0,14,14,3262.8,gemini,2690,stop,
gsm8k/test/22,1.0,7,7,2936.1,gemini,2477,stop,
gsm8k/test/23,1.0,8,8,2634.2,gemini,2342,stop,
gsm8k/test/24,1.0,26,26,3906.5,gemini,3317,stop,
gsm8k/test/25,1.0,2,2,4782.1,gemini,4197,stop,
gsm8k/test/26,1.0,243,243,3552.6,gemini,3081,stop,
gsm8k/test/27,1.0,16,16,3150.7,gemini,2715,stop,
gsm8k/test/28,1.0,25,25,3869.1,gemini,3386,stop,
gsm8k/test/29,1.0,104,104,3779.7,gemini,3196,stop,
gsm8k/test/30,1.0,109,109,4138.9,gemini,3034,stop,
gsm8k/test/31,1.0,80,80,3776.9,gemini,3356,stop,
gsm8k/test/32,1.0,35,35,2756.3,gemini,2310,stop,
gsm8k/test/33,1.0,70,70,3712.1,gemini,3257,stop,
gsm8k/test/34,1.0,23,23,4013.3,gemini,3530,stop,
gsm8k/test/35,1.0,9,9,3672.3,gemini,3237,stop,
gsm8k/test/36,1.0,$75.00,75,3609.6,gemini,3031,stop,
gsm8k/test/37,1.0,2,2,5911.3,gemini,5611,stop,
gsm8k/test/38,1.0,10,10,3635.3,gemini,3157,stop,
gsm8k/test/39,1.0,18,18,3811.4,gemini,3357,stop,
gsm8k/test/40,1.0,8,8,5211.2,gemini,4781,stop,
gsm8k/test/41,0.0,None,200,6068.5,groq,1948,stop,
gsm8k/test/42,1.0,26,26,3004.0,gemini,2636,stop,
gsm8k/test/43,1.0,48,48,4226.3,gemini,3792,stop,
